doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
haui-financial-aid-scholarships,data/scholarship/haui-financial-aid-scholarships.md,Học bổng và hỗ trợ tài chính cho sinh viên - Đại học Công nghiệp Hà Nội,https://www.haui.edu.vn/vn/hoc-bong-hoc-phi/ho-tro-tai-chinh-va-hoc-bong-danh-cho-sinh-vien-haui/68191,2026-09-19,not-stated,public-source
hust-financial-aid-for-students,data/scholarship/hust-financial-aid-for-students.md,Hỗ trợ tài chính cho sinh viên - Đại học Bách khoa Hà Nội,https://ts.hust.edu.vn/tin-tuc/ho-tro-tai-chinh-cho-sinh-vien,2026-09-19,2025,public-source
hust-postgrad-research-scholarships,data/scholarship/hust-postgrad-research-scholarships.md,Học bổng Thạc sĩ nghiên cứu ĐHBKHN - Đại học Bách khoa Hà Nội,https://ts.hust.edu.vn/tin-tuc/hoc-bong-thac-s-nghien-cuu-dhbkhn,2026-09-19,not-stated,public-source
iuoss-jensen-huang-scholarship,data/scholarship/iuoss-jensen-huang-scholarship.md,Chương trình học bổng Jensen Huang năm 2025,https://iuoss.com/chuong-trinh-hoc-bong-jensen-huang-nam-2025/,2026-09-19,2025,public-source
lstf-dinh-thien-ly-scholarship,data/scholarship/lstf-dinh-thien-ly-scholarship.md,Học bổng Đinh Thiện Lý - Quỹ Hỗ trợ Cộng đồng Lawrence S. Ting,https://www.lstf.org.vn/vi/linh-vuc/giao-duc/hoc-bong-dinh-thien-ly/,2026-09-19,not-stated,public-source
ued-postgrad-scholarships,data/scholarship/ued-postgrad-scholarships.md,Chương trình học bổng đào tạo thạc sĩ, tiến sĩ trong nước – Khoa Toán – Tin, Trường Đại học Sư phạm, Đại học Đà Nẵng,https://tt.ued.udn.vn/hoc-bong-thac-si-tien-si-trong-nuoc/,2026-09-19,2022,public-source
usth-vallet-scholarship-2026,data/scholarship/usth-vallet-scholarship-2026.md,Thông báo triển khai chương trình học bổng Vallet năm 2026 dành cho sinh viên khu vực miền Bắc - USTH,https://usth.edu.vn/thong-bao-trien-khai-chuong-trinh-hoc-bong-vallet-nam-2026-danh-cho-sinh-vien-khu-vuc-mien-bac-31432/,2026-09-19,2026,public-source
viasm-sigma-gold-scholarship,data/scholarship/viasm-sigma-gold-scholarship.md,Học bổng Sigma Gold năm học 2026-2027 cho sinh viên ngành Toán - VIASM,https://viasm.edu.vn/hoat-dong-khoa-hoc/tin-tuc/chi-tiet/hoc-bong-sigma-gold-nam-hoc-2026-2027-cho-sinh-vien-nganh-toan,2026-09-19,2026-2027,public-source
